PROP_NUM,GAME_TITLE,MONTH,COIN_IN,HANDLE_PULLS,ASSET_COUNT
10,1766,6,98340,62010,90
20,2635,12,191530,44570,31
16,1545,10,530790,324700,341
8,3263,7,104550,103080,75
20,549,2,73930,59240,28
10,305,8,257590,225710,341
1,3141,9,52510,40860,60
20,2766,6,49230,23240,60
8,736,4,485890,419530,150
21,2435,5,445350,141320,93
8,2768,11,83550,116190,30
14,1280,5,23400,48970,62
20,1169,6,96760,90100,63
20,3225,4,68260,69630,60
1,396,6,151050,172390,90
10,1941,5,132080,54600,62
10,1227,9,126040,99720,120
10,2475,10,131120,143210,186
8,1102,9,251930,117560,120
14,715,10,-18110,13250,31
8,1599,5,31260,32000,31
10,541,6,357820,291960,218
10,2564,8,182880,123310,124
21,369,10,47240,11230,93
21,324,1,48790,61240,50
8,1135,6,40410,38670,98
20,639,10,47320,49530,31
14,646,6,-7340,22660,120
10,2708,7,1537500,1128530,465
8,2436,2,3313390,914470,252
21,609,8,14680,16120,62
10,3252,7,157340,112930,155
14,3249,8,20820,37260,52
8,1308,10,12147580,2143240,1255
10,350,10,493350,458780,465
20,2701,7,175640,177910,93
8,1004,8,89380,156400,62
10,1675,7,503090,516210,620
1,3040,7,22720,29710,31
20,2862,9,434850,454310,210
20,1704,1,28140,13560,15
20,1244,5,128490,66450,78
22,913,6,43910,26020,30
8,2025,7,67730,49730,372
10,490,3,25260,13660,31
21,203,4,30510,27440,60
20,1611,7,398250,262180,155
10,2075,12,34430,5270,34
20,2092,12,2993050,686000,279
8,327,5,1159710,850600,496
22,2539,2,31710,22120,28
10,1587,4,50960,46090,30
20,2909,7,348400,223260,155
10,1789,10,746660,765650,658
10,3092,11,130300,58800,90
20,2095,3,370660,94340,62
22,114,10,44450,36390,62
10,217,1,64650,29510,104
1,748,5,37190,53170,31
1,1560,2,91910,13590,28
8,1215,8,1041120,710570,186
10,2195,8,99850,46350,62
8,999,8,98720,182350,62
10,2989,6,48250,26060,42
20,3113,10,55030,41470,62
21,543,2,72710,150170,56
8,238,1,56850,100030,31
20,2544,11,50770,30280,30
10,2681,11,83620,48140,30
10,3045,4,48960,36260,60
21,1768,1,30010,59320,25
10,1712,3,192190,141780,93
21,40,1,16280,20010,52
10,579,3,195940,156810,124
1,480,9,327580,123470,150
8,941,12,220360,150060,81
8,966,4,20530,21300,30
8,1205,10,235170,181480,280
21,1116,12,117520,121420,62
10,1655,3,1735610,491180,279
8,485,7,727810,130130,124
8,2172,5,18080,18790,31
21,3087,11,40690,68300,30
8,303,6,257320,196200,90
10,3171,9,212400,107050,60
21,3024,10,23710,24750,62
10,862,12,54910,30120,31
10,825,9,148470,94740,60
1,3024,3,104130,113290,62
10,1128,4,304930,66110,150
14,2831,4,22210,44550,60
1,841,9,26320,21320,30
16,909,8,459570,94460,124
16,2638,6,40530,38810,30
22,1446,6,62210,59890,30
10,2684,12,25260,10050,31
10,2816,11,444110,378650,390
10,550,12,146730,91070,155
10,2208,5,405160,304250,217
8,2036,11,38170,43460,60
10,2797,6,5826210,1876060,870
10,672,4,19110,7530,30
1,3040,9,29540,35020,30
1,1608,6,85610,51450,60
10,1608,11,1471800,846290,540
20,742,2,110810,91360,56
10,1880,12,166650,22440,62
20,1506,9,152530,94320,120
10,357,12,314460,69750,155
10,138,11,306990,235510,90
10,674,12,391750,280110,217
8,2503,8,153220,58210,62
20,237,7,480620,505720,232
8,499,2,2237880,191620,112
21,802,7,27770,28210,93
14,230,9,-9650,14150,30
8,654,3,57890,71980,31
22,571,9,30120,38000,30
10,2274,2,11120,0,3
10,2164,3,49940,38640,31
10,132,5,40190,24310,31
14,2215,4,114430,105380,60
10,566,4,29120,15050,16
10,458,2,120060,62870,28
8,1841,11,1151500,260000,180
10,30,5,850520,456530,217
10,2246,8,241000,159050,124
10,584,9,388350,276390,150
8,2084,9,59540,71460,60
10,1276,1,84440,74910,110
10,2666,7,54980,18930,31
10,1897,5,50580,12130,62
10,2805,11,400350,354640,540
10,2483,6,134570,126340,99
22,2092,6,574140,139550,90
20,2088,11,39960,28330,30
22,2589,3,8120,2310,10
10,2207,5,742220,574700,372
10,2928,10,25380,7380,31
21,2863,1,256430,353630,185
14,356,5,25690,14150,62
22,3063,2,34010,30590,28
20,2862,1,37140,31910,25
8,2371,11,246860,260450,60
10,158,9,43870,30650,150
10,2318,9,487050,205220,120
22,1559,6,39860,31070,30
10,2047,4,83900,62030,120
20,2081,2,225820,213600,140
22,845,5,16890,20280,29
8,2450,6,147580,197510,60
20,2279,10,32370,18500,62
21,2564,12,26150,18650,18
10,2231,12,396610,248090,217
22,2235,4,65330,56730,90
20,2748,5,1570770,583130,465
1,329,7,178240,105470,93
20,630,8,343990,379420,186
10,519,12,609860,519320,341
1,3322,9,104550,102940,120
14,786,8,-8100,2870,31
10,2236,11,343460,206040,120
10,802,5,91890,77540,186
20,970,12,165510,104400,93
21,3305,9,29370,32880,54
10,2309,7,663340,146910,248
10,1669,1,81900,55270,55
10,2067,9,59240,41970,60
21,2971,12,16410,16140,31
20,1203,2,329510,201250,252
20,1980,6,107710,98530,180
10,323,10,36780,26670,62
1,2848,7,90910,79570,62
10,800,9,216440,128780,60
8,1946,3,59240,93780,31
20,2031,4,83430,42880,30
8,1988,3,219120,362450,124
10,2500,6,43630,27060,60
10,1777,5,296770,242340,217
1,3125,9,16190,22430,30
21,2771,1,15280,19120,58
16,1540,11,151040,92310,90
10,1469,7,575390,368530,434
10,886,1,18650,8460,15
10,2622,6,278320,238770,180
14,958,8,21830,8750,124
10,727,5,170880,154250,186
8,835,9,16250,13250,30
10,2903,6,39500,23650,90
21,634,7,70930,13520,31
10,2858,1,35620,13000,13
20,639,3,166120,91500,62
20,33,7,297250,235200,186
16,2807,8,16160,10170,11
20,400,10,81830,74420,124
21,557,3,26760,38980,31
22,1540,7,58300,43350,31
10,2194,4,116350,12010,30
20,1742,1,15670,5770,12
1,691,6,18220,18460,60
20,2751,11,351610,205280,90
21,2380,6,55370,52730,30
10,1693,3,36910,26150,27
21,540,12,30390,81030,31
10,3216,7,988040,140100,155
10,2764,12,33770,22510,31
20,1982,4,39980,33600,60
10,739,4,121190,100950,90
10,2209,7,388310,253300,124
8,430,5,930330,1506840,372
10,1649,3,23111090,7828760,2971
1,1669,3,33690,23230,31
10,1077,10,192410,90090,62
1,1576,3,88580,150340,62
22,1772,7,340050,35720,31
8,3010,3,134040,114890,62
14,1182,3,36910,73550,62
21,526,9,136620,251840,90
20,949,7,67400,66720,31
20,433,11,154130,151900,60
10,826,4,321310,76740,90
1,2858,2,131090,139000,56
14,50,9,139540,69670,30
10,1617,9,980500,441260,840
8,2307,11,18330,18550,24
1,67,7,71410,61960,124
10,2048,9,69550,50340,60
10,1315,4,87680,66330,30
20,1815,11,170010,124560,120
10,1039,8,23320,12240,62
14,3233,9,57340,37750,180
10,3287,2,68100,51630,66
10,862,6,58170,27910,30
22,324,6,101820,189560,60
1,1141,3,71730,91740,62
1,477,6,322920,121320,150
20,458,8,156190,214370,93
20,1516,11,135140,210830,90
1,2535,9,94890,28080,30
8,2196,10,93770,76380,62
1,1045,5,25780,28240,31
20,2809,6,184400,112660,120
14,386,9,132280,120310,60
8,3145,10,223740,169340,62
10,91,5,440040,100020,124
10,1100,1,14680,2560,5
1,2778,2,32000,62730,28
10,1928,7,20080,15300,31
8,223,1,18670,22400,31
22,2435,10,330510,129380,93
10,1100,7,40100,23540,31
8,1747,7,4830,9130,9
21,2364,10,79720,86820,62
10,688,10,1298390,615950,310
20,1702,2,63410,88750,28
10,3223,8,94010,64070,62
10,3220,8,191690,122980,124
22,562,6,18960,14380,27
10,1487,5,94790,74760,88
20,468,5,57920,40530,62
10,2032,11,2577640,496430,270
20,3182,2,237270,189820,196
8,3005,10,79850,81050,93
16,1541,7,99990,65350,62
10,554,2,25630,11170,56
22,2519,8,57360,8720,31
20,2829,7,51530,38990,31
20,1965,3,111700,79280,62
8,2805,12,35200,36850,62
10,3033,11,51620,13830,30
8,2863,12,95010,109450,93
10,1078,3,130910,103410,62
8,2363,9,252090,362970,120
10,1388,7,475220,522500,465
10,2057,6,76400,71390,60
20,2498,7,522430,553150,372
8,1427,3,1853010,806120,839
8,2957,7,48780,42620,31
10,9,2,64970,30960,56
10,327,3,2177370,1385360,403
20,1114,5,182490,172840,93
10,859,6,28050,15490,30
10,2662,9,265870,298950,330
1,2855,12,172470,91370,62
14,1675,7,17340,38500,62
20,250,3,151490,45710,31
20,1055,2,72240,47790,56
8,3146,9,68220,52060,60
21,406,5,11950,20620,7
14,2855,5,13660,38750,31
1,335,3,64920,67300,31
1,304,4,7040,1730,10
10,2797,7,6444460,2012130,899
10,3276,1,52510,15610,18
10,2738,6,189830,119900,150
21,1900,3,19820,8260,31
1,1045,1,9810,3850,3
14,2334,4,34370,63480,90
10,2583,5,286560,41080,124
16,2376,1,7700,5470,6
10,662,7,151060,128950,124
10,2574,4,160730,33580,120
14,473,7,161210,75700,496
20,3218,5,383270,197510,124
10,3323,11,136350,121850,120
22,1899,12,21740,29010,31
10,636,11,47790,34250,30
20,2671,6,759950,311210,270
14,773,12,47110,51270,124
10,2110,9,218540,134870,240
8,1833,7,19570,20900,93
8,1107,2,445840,328290,100
8,2025,1,120040,81760,456
10,1306,9,51000,41360,30
10,862,1,16290,3790,4
8,2162,4,211020,373060,60
1,1939,2,48790,75600,28
8,796,4,240260,95400,240
20,3005,6,39170,22350,30
20,1138,3,146690,31650,93
10,3048,8,61760,34650,28
21,2461,6,91220,69990,60
8,1736,10,585530,453270,465
10,1661,2,104480,74990,56
20,558,12,1075460,1072520,372
10,3295,2,699130,232400,280
10,621,6,78680,76810,121
14,3302,7,41480,37410,124
1,129,12,58400,63890,62
10,304,9,32900,22770,30
10,67,7,1220130,1020890,775
8,870,11,69730,65200,60
20,3287,12,71470,60410,31
20,706,12,90110,84680,31
10,20,10,91510,18960,31
10,543,11,215220,214960,240
10,2522,2,71260,58380,84
1,854,3,46650,70750,31
10,703,4,446760,157260,450
20,1208,3,466810,58150,62
10,2376,6,537460,519410,450
10,311,2,73850,62600,56
16,723,5,114190,75280,31
20,3116,12,358250,154680,93
21,1562,5,60200,24270,31
10,833,10,77540,45070,93
16,286,10,71020,164460,62
20,2856,4,31750,12290,20
8,139,3,94360,106040,54
8,2475,12,48130,60150,62
8,2734,1,60410,44510,31
8,767,2,24250,32100,28
14,473,10,180150,67800,496
10,2720,10,1308830,244620,527
10,362,8,129480,154720,124
1,3111,11,39230,20950,30
21,1558,1,34450,28830,50
20,2354,12,80790,123480,31
20,2360,11,352760,347450,180
10,102,6,834350,564670,240
20,1641,8,113670,18730,62
14,41,7,17890,43810,62
10,806,6,104940,64570,60
10,1116,10,105930,71360,62
16,2507,1,8680,9130,6
21,365,12,73060,90870,31
8,2585,1,63510,14490,93
10,362,3,186420,195070,124
10,1390,10,43430,18970,31
20,2162,2,397320,242780,84
20,796,5,138430,38580,124
10,2983,12,871850,360860,186
21,2878,10,51040,44560,62
10,1406,2,1279030,947630,924
1,1649,4,1071490,614370,360
10,18,11,64580,15470,30
8,373,2,263760,362570,112
21,3170,1,61300,61240,87
10,3218,3,1427720,799150,434
20,3007,2,64510,43160,56
1,423,6,51190,48280,60
10,1023,1,156580,67730,56
10,2835,6,153470,121400,150
20,972,8,394610,269690,310
20,229,7,64750,33040,31
10,1355,9,304180,219980,150
10,3338,3,74610,75390,62
8,332,3,117730,72050,95
21,1832,7,27120,22150,31
10,919,7,86830,71320,31
21,2732,2,52640,35660,28
21,571,11,42360,45370,30
16,182,12,44400,29880,62
14,1097,11,17080,37340,60
20,1900,1,48210,2900,5
10,2582,12,322960,43860,124
8,2163,7,54110,95830,31
20,1507,12,388160,205460,93
10,1067,8,161860,118510,217
20,1706,1,19310,6520,4
10,1690,6,80020,55270,60
10,1725,8,269040,190190,186
10,919,9,85290,71530,30
8,2516,3,53720,71340,62
14,552,5,8830,50240,124
20,129,12,310980,196100,120
20,1607,11,499820,281470,210
22,2396,8,32910,12080,62
16,1985,9,161740,80570,120
10,972,9,2265060,1373530,966
21,2813,9,18660,19550,60
8,968,3,48300,46970,62
21,697,8,46480,7410,62
8,2664,2,285490,292160,56
21,2172,1,12530,12140,112
21,2392,8,64840,72540,124
8,1407,7,336170,381090,434
8,2541,3,120950,99370,62
14,933,7,16350,34140,62
10,1153,2,175470,109240,112
10,374,6,1706180,687260,570
10,978,2,14620,2580,10
16,974,3,76020,36920,46
10,2240,10,112920,10710,62
1,3038,12,33620,46600,31
10,21,4,42020,2810,10
8,29,7,69550,10860,62
10,898,9,338240,58090,60
8,1010,7,902610,1634260,310
8,2328,5,55850,84940,31
14,1215,3,78320,85680,62
8,2369,1,242480,254410,62
10,544,11,581290,449140,420
20,3187,1,17150,3470,4
21,1590,12,73380,40630,93
10,1610,8,631160,411630,248
20,2765,5,49020,69590,31
10,33,11,1383250,944230,570
10,2382,5,918410,468710,310
20,1079,9,159620,86400,90
10,2885,8,241010,84250,60
1,3125,3,17100,14470,31
20,1450,8,266400,234250,186
20,3283,4,528430,217610,180
20,487,11,29590,21280,30
10,2926,7,127030,116730,62
20,138,10,85550,65420,62
21,1450,4,100970,110780,60
20,744,12,41450,34330,31
8,2064,9,332400,443850,120
21,3161,2,32550,41040,56
20,3007,4,70280,45410,60
10,393,2,632290,172880,252
8,1006,6,72060,129280,30
16,1655,6,137100,43440,30
10,995,4,31870,24710,30
10,1191,11,464070,115220,60
20,639,12,54770,54400,31
10,2199,2,337360,257880,252
8,815,7,47040,83350,31
20,2965,3,48810,60740,31
21,1130,10,160570,133540,93
1,546,3,30960,28460,31
22,936,9,37150,26950,60
8,1869,9,30860,4730,60
20,555,2,90530,27220,84
8,396,5,163810,253250,62
20,2410,2,257900,383270,168
21,2753,8,110980,109140,62
20,2804,1,22850,13560,15
10,2981,11,42730,23950,30
10,167,4,119720,83730,60
10,3235,11,28850,17070,50
21,1660,2,31700,35030,28
8,164,11,94600,94130,95
8,2800,8,192900,217220,62
10,1144,5,116820,73090,62
8,1757,2,148110,94290,112
10,2022,1,15380,5600,18
10,390,1,35470,20910,16
10,495,5,244820,64860,31
10,1488,2,34610,21360,28
22,998,12,42570,50490,31
10,1949,9,73780,45700,90
14,1961,4,31860,72150,60
20,2501,7,74730,82790,31
10,3202,6,185710,145150,180
22,2341,4,51360,52030,30
20,1521,4,436900,421470,110
10,2974,6,252800,243060,300
14,63,7,160850,87260,124
20,460,5,115940,199490,62
10,2281,7,75290,63160,60
10,2338,2,31820,20670,56
10,691,3,250210,255190,403
10,78,12,340620,230900,155
8,3182,5,314330,275960,248
20,1615,7,117980,118640,124
20,2471,1,195070,36040,70
1,47,3,81720,68130,124
21,3005,7,7320,5080,28
10,863,5,271150,134470,186
8,1840,6,2195790,357510,270
20,1356,1,23970,14060,15
20,913,4,55660,41540,30
8,1781,2,105910,176360,28
10,2872,10,651000,117680,124
20,1641,12,87430,14420,62
10,1131,1,46210,26300,24
10,1088,5,272460,146450,127
8,1718,2,82750,89870,92
21,2380,12,51340,41000,31
16,1335,9,46150,42730,30
8,3129,3,36250,37120,62
20,1815,2,190840,157520,84
20,1141,11,58310,117200,30
22,522,8,134310,56320,31
10,565,11,569460,337980,150
14,2820,2,-31120,10,28
8,938,4,36050,26430,132
10,3251,12,66970,24610,31
10,555,7,343560,32860,62
10,2640,6,559610,518400,270
22,782,10,34820,42740,31
10,2719,7,4260790,810400,961
10,2070,12,117870,139740,62
8,2766,2,38170,27270,56
8,1512,3,24390,23700,31
10,2585,7,678630,194470,279
1,437,4,82510,137740,60
10,1765,7,108460,77630,62
10,1412,6,1794920,265070,780
16,2302,8,14620,14020,11
8,2471,5,216020,133920,84
10,2157,4,38950,24310,30
16,1540,2,156140,120960,84
14,865,10,26250,51350,62
16,2092,3,360600,80670,31
8,2509,6,33960,33470,30
8,100,9,175270,146510,90
10,292,3,31490,18140,62
20,1279,9,223030,14130,90
10,2102,10,30840,17820,31
10,1195,4,75080,66590,90
1,691,4,26360,21650,60
20,1270,3,55900,19220,24
8,1326,6,46830,41910,60
10,974,1,31050,10780,12
10,1554,7,104150,27080,93
10,1346,7,1335230,344680,336
8,1081,5,89750,23950,124
10,1200,11,97220,64260,34
10,1247,11,230130,87970,60
10,2640,1,85740,63020,38
22,1723,9,49740,64590,30
10,773,3,523540,318270,217
20,249,2,55180,30810,28
10,856,8,82820,64470,124
10,334,9,866460,525200,330
8,2790,8,41190,36670,31
20,2930,7,182440,191640,124
10,2057,2,78230,72620,56
20,2651,4,86410,69340,30
10,2511,11,38090,16200,60
16,2790,9,37590,30570,30
20,134,5,130550,103150,62
20,3209,10,44040,62300,31
10,666,4,639730,135740,270
8,812,6,78340,65580,30
8,1087,11,67330,41800,120
20,745,2,55040,46280,28
1,564,4,696350,423820,120
21,396,1,76600,115920,33
20,2637,1,17180,5020,5
20,2946,3,186540,63320,62
8,698,5,56680,12220,124
10,2899,3,78900,68990,31
20,558,3,1152480,1193440,341
22,1590,8,57600,31010,93
20,3083,7,38560,24220,31
10,1895,6,67920,44060,60
8,230,11,161990,124650,60
10,903,8,192150,123800,62
10,217,6,458540,248180,780
10,2032,1,229210,40440,29
20,2609,1,32340,23580,20
20,3282,4,931900,284310,240
16,1731,1,12070,4200,12
8,494,9,1697910,227240,150
21,1769,3,9060,8260,31
22,2931,5,40290,38090,31
8,2821,5,73700,93480,62
16,378,11,44200,33960,60
21,157,7,85690,41540,93
20,838,9,283010,34870,30
10,2096,11,34970,11580,60
1,3102,6,37060,40320,30
20,2205,4,204290,133180,60
8,931,3,42020,84070,31
10,2040,9,310570,180650,210
8,1913,7,12970,11710,31
10,2117,2,32140,19760,28
10,2132,3,116660,95110,93
10,2325,10,200730,164320,124
8,264,10,81330,72620,31
1,2510,3,19160,12930,31
10,2227,6,329220,258310,150
10,2198,4,275160,215880,150
10,96,11,104720,102280,120
10,3077,7,667200,299010,93
10,457,3,145740,115680,62
8,1036,6,25840,31100,60
10,1809,5,340980,236080,124
20,1398,6,31360,19440,30
8,1988,10,156210,250870,124
20,1787,5,44760,24540,31
10,1805,2,546840,439530,224
10,2809,2,236870,132610,84
22,2092,2,615000,141050,84
1,2609,12,77310,70590,93
1,1445,9,22920,29870,30
10,298,6,264480,182030,120
8,1407,10,303980,338000,434
20,1982,10,48370,32970,62
22,859,12,12650,10730,31
14,2298,3,87380,107580,62
20,2839,2,49070,42360,28
1,2759,6,8030,3110,30
10,1307,9,210560,211150,120
14,1995,11,-9680,18670,60
10,2288,3,234660,222840,186
20,2098,11,87460,81420,60
22,430,8,66770,117460,62
10,2282,12,172380,135100,93
10,1076,5,31130,16410,31
10,3153,7,939900,655300,341
21,2703,8,31540,4960,33
8,3264,2,61600,34710,56
10,830,10,1938430,297210,279
20,88,12,415600,456680,155
10,797,12,161180,97090,93
10,2255,5,338510,275170,217
8,2158,2,161170,152580,168
20,1427,7,1289900,560640,992
10,1845,1,213430,32330,20
10,2144,2,766240,489560,252
10,2555,9,124910,104590,120
1,1308,7,1062160,177100,155
10,947,6,351030,156890,150
8,535,9,304170,586070,120
20,441,7,182200,302390,93
20,2348,2,35870,23370,28
20,706,10,74810,70010,31
10,1661,5,113180,77990,62
8,2214,5,132800,100990,62
10,1071,3,81090,40200,62
8,376,5,117370,119490,62
10,1131,10,294070,177910,186
10,1495,1,16460,5300,10
10,3287,11,36830,22810,30
8,2619,5,127770,167340,62
16,2384,1,7800,3780,6
14,3332,7,32560,53630,62
8,3239,8,195070,298870,186
10,1231,7,40120,20640,62
20,494,12,2465570,402970,279
8,1908,12,149350,260220,62
10,2074,3,116420,21160,31
10,1758,5,123050,84780,62
14,1634,8,-10070,24680,31
21,1439,3,42860,38990,54
10,733,12,134640,129360,155
21,2987,4,27900,23890,30
14,2092,10,1436710,371950,217
16,893,9,28720,25560,30
20,3039,12,92130,65820,62
20,504,6,1852290,1222770,630
8,2430,6,22610,8250,60
10,1961,12,172480,147310,155
10,1730,3,144430,71790,93
1,893,10,37280,32610,62
20,1050,5,91740,96370,31
22,1996,6,47820,59400,60
8,441,7,47280,72670,62
14,1442,9,148310,28680,120
10,885,12,190710,158360,155
8,654,5,79210,79960,31
8,221,2,26660,23600,72
20,504,8,1528400,1095620,620
8,812,9,110800,84910,30
20,2249,7,655850,454460,186
16,982,9,90560,61770,90
20,63,3,922870,495340,341
10,1696,8,1468350,730600,658
20,2700,5,85900,58190,31
8,760,7,413210,358590,292
8,531,6,71530,14870,60
20,676,9,42960,49250,30
8,1448,2,407740,445200,196
8,2849,4,2794620,2165430,570
10,2732,5,191350,118700,93
20,2331,11,61570,83400,30
10,2977,7,178500,28570,62
20,639,7,148550,83130,60
14,504,5,478470,240160,124
10,2671,11,152960,59350,30
22,2275,8,64510,67880,62
8,2009,11,47920,70340,30
10,1788,10,52970,35120,93
21,2471,5,80190,39250,31
1,843,11,74040,52690,60
8,1581,9,197140,200860,60
10,2721,9,4486100,922450,1260
20,2181,6,572880,365380,120
10,76,4,69450,39840,30
10,2187,4,213390,169930,150
20,1213,5,127750,55320,62
10,2862,2,1059960,918780,513
14,327,3,316040,219930,124
10,352,4,222430,148180,90
10,2866,8,155900,87410,62
8,1016,8,162660,251640,62
1,854,7,32910,51150,31
8,2163,10,37990,77550,31
8,1989,5,63360,70870,93
8,3239,12,188170,349110,171
20,2405,12,170630,164950,93
20,831,6,101260,59380,60
14,949,9,-11100,27570,30
16,373,7,48200,94360,31
8,605,7,117980,73110,62
10,2484,5,43350,32330,62
20,2852,2,36340,18390,56
10,2963,6,657480,146760,210
10,784,6,211990,162580,90
10,1306,6,55040,49200,30
10,1307,8,192840,200840,124
8,2404,11,64060,60650,30
21,757,7,211940,343720,93
21,745,6,36030,28460,30
20,706,3,323270,334590,93
20,886,3,45420,34060,62
10,1696,11,1584890,727080,630
10,2315,2,224490,18500,28
21,499,4,518290,113280,90
10,224,2,31450,19700,28
14,1980,9,7850,47760,60
10,3203,10,45870,21880,64
14,1408,9,29500,51030,60
8,1794,2,34390,37470,28
10,2576,12,918550,199000,341
20,2649,9,74400,54590,60
22,1197,11,77740,8770,60
10,2284,7,128940,101430,93
10,936,1,43690,30740,83
10,1255,1,16020,5650,6
21,1753,2,40380,53780,28
10,1520,4,868460,223990,120
14,2622,11,17110,42460,120
20,1469,2,376860,243170,308
22,233,11,93040,23070,30
20,1406,3,296430,284020,217
20,1005,10,154010,156680,62
16,885,9,30060,27490,72
20,2842,7,49710,29320,62
8,3322,7,471190,496080,341
8,1750,8,176570,192870,62
21,1427,10,180190,90090,403
8,1276,2,246160,303010,336
21,1325,2,24320,9870,28
20,1416,11,222870,75280,150
22,2662,1,5760,4210,6
20,2640,7,216050,104790,101
10,2668,12,93080,75030,62
10,3200,7,113970,97240,186
14,1441,11,86610,17350,120
14,3147,2,-31120,0,28
21,286,7,137650,381960,93
1,2461,4,68140,36010,30
8,490,6,12150,14220,30
21,1677,7,67890,79970,93
14,2552,12,88490,60840,93
10,2791,5,49890,33050,31
21,1408,11,45370,39940,60
20,1131,8,193900,141140,62
1,1952,3,80970,92040,31
10,116,10,107270,68920,124
8,721,11,167590,108550,190
10,802,6,107990,85320,180
20,748,6,102110,76290,90
14,2718,5,425450,200560,186
1,1980,4,30450,28180,60
16,3075,1,8850,5110,9
16,344,9,38660,40490,60
21,2296,11,68680,128510,30
20,2965,5,45220,54560,31
10,2579,11,206380,45180,180
10,1278,10,1407440,649590,901
8,244,10,61710,45280,62
1,277,1,7400,1550,6
10,1833,7,118810,94560,124
8,1871,8,93940,25640,50
20,706,7,232450,241420,93
20,1169,12,75170,68630,31
20,2153,8,69730,69950,62
10,1204,12,19440,2060,6
10,2167,11,50330,21830,90
10,381,6,115020,88150,60
1,1102,2,81530,80920,56
1,845,11,14170,16810,30
16,1649,6,511050,255240,120
10,927,2,45570,19780,56
8,1326,2,30890,29400,48
10,2287,4,822160,221020,120
21,796,7,48860,18380,62
10,401,7,410810,249150,155
10,1036,3,144070,112210,124
8,2561,3,297290,639750,186
1,2507,6,170570,127540,90
22,1545,3,687240,221550,279
10,2506,6,257110,183620,150
8,2436,1,3575730,983380,279
10,1935,10,26870,21900,31
8,2125,11,139550,100970,60
20,1851,2,7858910,1659150,1008
20,893,10,203910,181850,248
8,1358,6,156160,158210,90
16,504,7,373450,113150,62
10,2224,8,623410,377290,217
10,2816,3,505330,426250,403
10,2845,10,189300,40570,248
16,1229,11,42620,71150,30
20,2348,1,14460,3280,7
1,1850,2,134460,39840,28
20,468,9,55470,31470,60
20,504,7,1712260,1174490,620
1,1669,1,5800,320,3
